"variable","group","n","mean","sd","median","min","max","frequencies"
"AutoFahrt","A_off",NA,NA,NA,NA,NA,NA,"OfB: 15, OfF: 15, OnB: 0, OnF: 0"
"AutoFahrt","A_on_fam",NA,NA,NA,NA,NA,NA,"OnP: 8, OnV: 8, OnB: 7, OnF: 7"
"AutoFahrt","A_on_fc",NA,NA,NA,NA,NA,NA,"OnP: 8, OnV: 8, OnB: 7, OnF: 7"
"AutoFahrt","B_off",NA,NA,NA,NA,NA,NA,"OfB: 15, OfF: 15, OnB: 0, OnF: 0"
"NDRTs.NDRT1.","A_off",30,1.63,1.69,1,0,5,"0: 12, 3: 5, 1: 4, 2: 4"
"NDRTs.NDRT1.","A_on_fam",30,1.33,1.6,1,0,5,"0: 13, 1: 7, 2: 3, 3: 3"
"NDRTs.NDRT1.","A_on_fc",29,1.34,1.34,1,0,4,"0: 10, 1: 9, 3: 6, 2: 2"
"NDRTs.NDRT1.","B_off",30,1.6,1.61,1,0,5,"0: 10, 1: 8, 3: 6, 2: 2"
"NDRTs.NDRT2.","A_off",30,1.5,1.59,1,0,4,"0: 14, 3: 7, 4: 4, 2: 3"
"NDRTs.NDRT2.","A_on_fam",30,0.83,1.21,0,0,4,"0: 17, 1: 7, 3: 4, 2: 1"
"NDRTs.NDRT2.","A_on_fc",29,1.31,1.39,1,0,5,"0: 10, 1: 10, 3: 5, 2: 2"
"NDRTs.NDRT2.","B_off",30,1.43,1.5,1,0,5,"0: 10, 1: 10, 3: 4, 4: 3"
"NDRTs.NDRT3.","A_off",30,3.27,1.34,3.5,1,5,"4: 9, 3: 6, 5: 6, 2: 5"
"NDRTs.NDRT3.","A_on_fam",30,3.03,1.45,3,0,5,"4: 8, 3: 7, 1: 5, 5: 5"
"NDRTs.NDRT3.","A_on_fc",29,3.52,1.43,4,0,5,"5: 10, 3: 8, 4: 5, 2: 3"
"NDRTs.NDRT3.","B_off",30,3.7,1.21,4,0,5,"3: 11, 5: 9, 4: 8, 0: 1"
"NDRTs.NDRT4.","A_off",30,3.3,1.26,3,0,5,"3: 10, 4: 9, 5: 5, 2: 3"
"NDRTs.NDRT4.","A_on_fam",30,3.07,1.26,3,0,5,"3: 10, 2: 8, 4: 5, 5: 5"
"NDRTs.NDRT4.","A_on_fc",29,3.21,1.29,3,0,5,"4: 11, 3: 9, 2: 3, 5: 3"
"NDRTs.NDRT4.","B_off",30,3.7,1.06,4,1,5,"3: 10, 4: 9, 5: 8, 2: 2"
"NDRTs.NDRT5.","A_off",30,2.67,1.65,3,0,5,"4: 10, 1: 5, 0: 4, 2: 4"
"NDRTs.NDRT5.","A_on_fam",30,2.23,1.41,3,0,4,"3: 10, 4: 6, 0: 5, 1: 5"
"NDRTs.NDRT5.","A_on_fc",29,2.59,1.5,3,0,5,"3: 9, 4: 7, 1: 6, 0: 3"
"NDRTs.NDRT5.","B_off",30,3.33,1.6,3.5,0,5,"3: 9, 5: 9, 4: 6, 0: 3"
"NDRTs.NDRT6.","A_off",30,0.4,0.77,0,0,3,"0: 22, 1: 5, 2: 2, 3: 1"
"NDRTs.NDRT6.","A_on_fam",30,0.23,0.57,0,0,2,"0: 25, 1: 3, 2: 2, 3: 0"
"NDRTs.NDRT6.","A_on_fc",29,0.34,0.67,0,0,3,"0: 21, 1: 7, 3: 1, 2: 0"
"NDRTs.NDRT6.","B_off",30,0.43,0.77,0,0,3,"0: 21, 1: 6, 2: 2, 3: 1"
"NDRTs.NDRT7.","A_off",30,3.67,1.35,4,0,5,"4: 11, 5: 9, 3: 5, 1: 2"
"NDRTs.NDRT7.","A_on_fam",30,3.37,1.56,4,0,5,"5: 9, 3: 7, 4: 7, 1: 3"
"NDRTs.NDRT7.","A_on_fc",29,3.24,1.46,3,0,5,"4: 7, 5: 7, 3: 6, 2: 5"
"NDRTs.NDRT7.","B_off",30,3.93,0.87,4,2,5,"4: 11, 3: 9, 5: 9, 2: 1"
"NDRTs.NDRT8.","A_off",30,2.07,1.7,2.5,0,5,"0: 8, 3: 8, 1: 6, 4: 5"
"NDRTs.NDRT8.","A_on_fam",30,1.73,1.46,1,0,5,"1: 9, 0: 7, 3: 6, 2: 4"
"NDRTs.NDRT8.","A_on_fc",29,1.93,1.36,2,0,5,"3: 8, 1: 7, 2: 6, 0: 5"
"NDRTs.NDRT8.","B_off",30,2.37,1.5,3,0,5,"3: 11, 1: 10, 5: 4, 0: 2"
"SubjUeberwachguete.1.","A_off",30,5.3,0.88,6,3,6,"6: 16, 5: 8, 4: 5, 3: 1"
"SubjUeberwachguete.1.","A_on_fam",30,4.83,1.62,6,0,6,"6: 16, 5: 5, 3: 4, 2: 2"
"SubjUeberwachguete.1.","A_on_fc",29,5.1,1.35,6,1,6,"6: 15, 5: 9, 2: 2, 4: 2"
"SubjUeberwachguete.1.","B_off",30,5.17,0.75,5,3,6,"5: 16, 6: 10, 4: 3, 3: 1"
"SubjEinflussSetting","A_off",30,0.77,0.43,1,0,1,"1: 23, 0: 7"
"SubjEinflussSetting","A_on_fam",30,0.87,0.35,1,0,1,"1: 26, 0: 4"
"SubjEinflussSetting","A_on_fc",29,0.79,0.41,1,0,1,"1: 23, 0: 6"
"SubjEinflussSetting","B_off",30,0.63,0.49,1,0,1,"1: 19, 0: 11"
"L2PrivNutzung","A_off",29,2.9,1.23,3,0,4,"3: 11, 4: 11, 1: 3, 0: 2"
"L2PrivNutzung","A_on_fam",29,3.07,1.1,3,0,4,"3: 12, 4: 12, 1: 3, 0: 1"
"L2PrivNutzung","A_on_fc",0,NA,NA,NA,Inf,-Inf,"0: 0, 1: 0, 2: 0, 3: 0"
"L2PrivNutzung","B_off",29,3.31,1.04,4,0,4,"4: 16, 3: 10, 1: 2, 0: 1"
"L2Komponenten.Laengs.","A_off",29,3.79,0.41,4,3,4,"4: 23, 3: 6, 0: 0, 1: 0"
"L2Komponenten.Laengs.","A_on_fam",29,3.52,0.99,4,0,4,"4: 21, 3: 5, 0: 1, 1: 1"
"L2Komponenten.Laengs.","A_on_fc",0,NA,NA,NA,Inf,-Inf,"0: 0, 1: 0, 2: 0, 3: 0"
"L2Komponenten.Laengs.","B_off",29,3.66,0.72,4,1,4,"4: 22, 3: 5, 1: 1, 2: 1"
"L2Komponenten.Quer.","A_off",29,2.97,1.18,3,1,4,"4: 13, 3: 8, 1: 6, 2: 2"
"L2Komponenten.Quer.","A_on_fam",29,2.48,1.35,3,0,4,"3: 9, 4: 8, 1: 5, 2: 4"
"L2Komponenten.Quer.","A_on_fc",0,NA,NA,NA,Inf,-Inf,"0: 0, 1: 0, 2: 0, 3: 0"
"L2Komponenten.Quer.","B_off",29,3.34,1.14,4,0,4,"4: 19, 3: 6, 1: 3, 0: 1"
"L2Komponenten.Hoff.","A_off",29,2.59,1.38,3,0,4,"3: 10, 4: 9, 1: 5, 0: 3"
"L2Komponenten.Hoff.","A_on_fam",0,NA,NA,NA,Inf,-Inf,"0: 0, 1: 0, 2: 0, 3: 0"
"L2Komponenten.Hoff.","A_on_fc",0,NA,NA,NA,Inf,-Inf,"0: 0, 1: 0, 2: 0, 3: 0"
"L2Komponenten.Hoff.","B_off",29,3.17,1.28,4,0,4,"4: 19, 1: 4, 2: 3, 3: 2"
"Ranking","A_off",27,1.74,0.45,2,1,2,"2: 20, 1: 7"
"Ranking","A_on_fam",0,NA,NA,NA,Inf,-Inf,"1: 0, 2: 0"
"Ranking","A_on_fc",0,NA,NA,NA,Inf,-Inf,"1: 0, 2: 0"
"Ranking","B_off",0,NA,NA,NA,Inf,-Inf,"1: 0, 2: 0"
"DauerFahrt","A_off",30,60.63,11.01,60,45,80,NA
"DauerFahrt","A_on_fam",30,77.47,55.98,60,45,300,NA
"DauerFahrt","A_on_fc",30,73.83,39.03,60,45,220,NA
"DauerFahrt","B_off",30,59.47,9.49,60,45,75,NA
"L2AnteilFahrt","A_off",30,52.83,11.26,50,15,75,NA
"L2AnteilFahrt","A_on_fam",30,60.63,22.1,55,10,100,NA
"L2AnteilFahrt","A_on_fc",30,62.1,21.08,60,10,100,NA
"L2AnteilFahrt","B_off",30,53.03,8.37,52.5,35,65,NA
"KmVorFahrt","A_off",30,0,0,0,0,0,NA
"KmVorFahrt","A_on_fam",30,213.7,91.75,245,5,365,NA
"KmVorFahrt","A_on_fc",30,35.9,30.08,40,1,120,NA
"KmVorFahrt","B_off",30,0,0,0,0,0,NA
"TiA_overall","A_off",30,3.72,0.61,3.78,2,4,NA
"TiA_overall","A_on_fam",30,3.57,0.49,3.68,2,4,NA
"TiA_overall","A_on_fc",30,3.52,0.48,3.58,2,4,NA
"TiA_overall","B_off",30,3.58,0.44,3.55,2,4,NA
"TiA_RC","A_off",30,3.63,0.77,3.67,1,5,NA
"TiA_RC","A_on_fam",30,3.55,0.63,3.58,2,5,NA
"TiA_RC","A_on_fc",30,3.5,0.5,3.5,2,4,NA
"TiA_RC","B_off",30,3.64,0.57,3.73,2,4,NA
"TiA_UP","A_off",30,4.04,0.76,4.12,2,5,NA
"TiA_UP","A_on_fam",30,4.18,0.52,4.25,3,5,NA
"TiA_UP","A_on_fc",30,3.98,0.69,4,2,5,NA
"TiA_UP","B_off",30,4.19,0.6,4.25,3,5,NA
"TiA_F","A_off",30,3.38,1.51,4,1,5,NA
"TiA_F","A_on_fam",30,2.2,1.2,2,1,4,NA
"TiA_F","A_on_fc",30,2.23,1.28,2,1,5,NA
"TiA_F","B_off",30,2.15,1.36,2,1,5,NA
"TiA_IoD","A_off",28,4.32,0.76,4.5,2,5,NA
"TiA_IoD","A_on_fam",29,4.31,0.77,4.5,2,5,NA
"TiA_IoD","A_on_fc",28,4.36,0.73,4.5,3,5,NA
"TiA_IoD","B_off",28,4.34,0.68,4.5,3,5,NA
"TiA_PtT","A_off",30,3.24,0.7,3.17,2,5,NA
"TiA_PtT","A_on_fam",30,3.01,0.78,3,1,5,NA
"TiA_PtT","A_on_fc",30,3.14,0.65,3,1,4,NA
"TiA_PtT","B_off",30,2.99,0.6,3,1,4,NA
"TiA_TiA","A_off",30,3.85,0.9,4,1,5,NA
"TiA_TiA","A_on_fam",30,3.87,0.84,4,1,5,NA
"TiA_TiA","A_on_fc",30,3.75,0.76,4,2,4,NA
"TiA_TiA","B_off",30,3.87,0.54,4,2,5,NA
"CTAM_PE","A_off",30,5.18,1.42,5.33,1,7,NA
"CTAM_PE","A_on_fam",30,4.91,1.37,5.17,1,7,NA
"CTAM_PE","A_on_fc",29,5.13,1.25,5.67,2,7,NA
"CTAM_PE","B_off",30,5.23,1.15,5.33,3,7,NA
"CTAM_EE","A_off",30,5.86,1.29,6,1,7,NA
"CTAM_EE","A_on_fam",30,6.34,0.86,6.75,4,7,NA
"CTAM_EE","A_on_fc",29,6.1,0.91,6.25,3,7,NA
"CTAM_EE","B_off",30,6.21,0.75,6.5,4,7,NA
"CTAM_ATT","A_off",30,4.88,1.45,5,1,7,NA
"CTAM_ATT","A_on_fam",30,4.75,1.32,4.88,2,7,NA
"CTAM_ATT","A_on_fc",29,4.66,1.47,4.75,1,7,NA
"CTAM_ATT","B_off",30,5.05,1.15,5.12,2,7,NA
"CTAM_FC","A_off",30,5.63,1.03,6,4,7,NA
"CTAM_FC","A_on_fam",30,5.62,0.92,5.67,3,7,NA
"CTAM_FC","A_on_fc",29,5.3,1.16,5,3,7,NA
"CTAM_FC","B_off",30,5.5,1.1,5.67,2,7,NA
"CTAM_ITU","A_off",30,5.56,1.52,6,1,7,NA
"CTAM_ITU","A_on_fam",30,5.56,1.59,6,1,7,NA
"CTAM_ITU","A_on_fc",29,5.78,1.58,6,1,7,NA
"CTAM_ITU","B_off",30,6.11,1.39,6.67,2,7,NA
"CTAM_PS","A_off",30,4.72,1.24,5,1,6,NA
"CTAM_PS","A_on_fam",30,4.92,1.32,5.17,2,7,NA
"CTAM_PS","A_on_fc",29,4.9,1.34,5,2,7,NA
"CTAM_PS","B_off",30,4.67,0.96,4.75,2,6,NA
"System_sum","A_off",30,0.91,0.09,0.94,1,1,NA
"System_sum","A_on_fam",30,0.91,0.11,0.94,1,1,NA
"System_sum","A_on_fc",29,0.9,0.12,0.94,1,1,NA
"System_sum","B_off",30,0.9,0.08,0.94,1,1,NA
